isBest	lncRNA_gene	lncRNA_transcript	partnerRNA_gene	partnerRNA_transcript	direction	type	distance	subtype	location
1	XLOC_006372	TCONS_00009914	CWF19L1	ENST00000468709.5	antisense	genic	0	overlapping	exonic
1	XLOC_048125	TCONS_00074738	ZNF318	ENST00000605935.5	antisense	intergenic	12897	divergent	upstream
1	XLOC_040830	TCONS_00063539	AMOTL2	ENST00000249883.9	sense	intergenic	28490	same_strand	downstream
1	XLOC_053939	TCONS_00083858	WHSC1L1	ENST00000527502.5	antisense	genic	0	nested	exonic
1	XLOC_015021	TCONS_00022987	DAOA	ENST00000559369.5	sense	intergenic	36143	same_strand	upstream
1	XLOC_058971	TCONS_00091369	NLRP2P	ENST00000434992.1	antisense	intergenic	22627	convergent	downstream
1	XLOC_036731	TCONS_00056937	ICOSLG	ENST00000344330.8	sense	intergenic	18907	same_strand	downstream
1	XLOC_031797	TCONS_00097145	SOX1	ENST00000330949.2	sense	intergenic	43070	same_strand	downstream
1	XLOC_002089	TCONS_00003219	GLUL	ENST00000331872.10	antisense	intergenic	52697	convergent	downstream
1	XLOC_042684	TCONS_00066353	HAND2	ENST00000503024.1	antisense	intergenic	5836	convergent	downstream
1	XLOC_007581	TCONS_00011748	HECTD2	ENST00000371681.8	antisense	genic	0	containing	intronic
1	XLOC_011015	TCONS_00016845	GRIK4	ENST00000533291.5	antisense	genic	0	nested	exonic
1	XLOC_035223	TCONS_00054462	GPCPD1	ENST00000379019.5	sense	intergenic	39877	same_strand	downstream
1	XLOC_049539	TCONS_00076906	ZNRD1	ENST00000471008.5	antisense	intergenic	760	divergent	upstream
1	XLOC_054705	TCONS_00085076	LY6D	ENST00000518469.1	antisense	genic	0	overlapping	exonic
1	XLOC_029856	TCONS_00045725	DDX1	ENST00000381341.6	sense	intergenic	59671	same_strand	downstream
1	XLOC_024630	TCONS_00037814	CDRT15L2	ENST00000399044.1	antisense	intergenic	803	divergent	upstream
1	XLOC_033795	TCONS_00052211	METTL8	ENST00000612742.4	sense	intergenic	42697	same_strand	downstream
1	XLOC_005198	TCONS_00008071	SIPA1L2	ENST00000366630.5	sense	intergenic	32956	same_strand	upstream
1	XLOC_097744	TCONS_00305267	CCDC167	ENST00000373408.3	antisense	genic	0	nested	exonic
1	XLOC_049146	TCONS_00076275	FOXQ1	ENST00000296839.3	antisense	intergenic	43354	divergent	upstream
1	XLOC_057705	TCONS_00089555	ANKRD18A	ENST00000602295.5	sense	intergenic	2936	same_strand	downstream
1	XLOC_023057	TCONS_00035434	SLC47A1	ENST00000270570.8	sense	intergenic	2393	same_strand	downstream
1	XLOC_044596	TCONS_00069226	DHX29	ENST00000621106.4	antisense	genic	0	nested	exonic
1	XLOC_031761	TCONS_00048931	SMARCAL1	ENST00000357276.8	sense	intergenic	12731	same_strand	upstream
1	XLOC_005881	TCONS_00009155	GDF10	ENST00000580279.1	sense	intergenic	71149	same_strand	upstream
1	XLOC_029984	TCONS_00045923	GTF3C2	ENST00000480989.1	antisense	genic	0	containing	exonic
1	XLOC_057040	TCONS_00088596	ASTN2	ENST00000313400.8	antisense	genic	0	nested	intronic
1	XLOC_021639	TCONS_00033287	SRL	ENST00000399609.7	sense	intergenic	3259	same_strand	upstream
1	XLOC_012129	TCONS_00018567	PPP1R12A	ENST00000437004.6	antisense	genic	0	overlapping	exonic
1	XLOC_057547	TCONS_00089335	IFNA4	ENST00000421715.2	sense	intergenic	7506	same_strand	downstream
1	XLOC_020826	TCONS_00032024	PHKB	ENST00000299167.12	sense	intergenic	23045	same_strand	downstream
1	XLOC_009656	TCONS_00014897	PHRF1	ENST00000534320.5	antisense	intergenic	601	divergent	upstream
1	XLOC_024359	TCONS_00037403	XAF1	ENST00000361842.7	antisense	genic	0	overlapping	exonic
1	XLOC_027339	TCONS_00041885	ZNF44	ENST00000600003.5	antisense	genic	0	overlapping	exonic
1	XLOC_046975	TCONS_00072886	PCDHB2	ENST00000194155.6	antisense	genic	0	overlapping	exonic
1	XLOC_039484	TCONS_00119430	IREB2	ENST00000560840.5	sense	intergenic	41358	same_strand	upstream
1	XLOC_048090	TCONS_00074681	NFYA	ENST00000341376.10	sense	intergenic	1058	same_strand	downstream
1	XLOC_009346	TCONS_00014395	PTS	ENST00000531673.5	sense	intergenic	20246	same_strand	downstream
1	XLOC_023504	TCONS_00036099	MEOX1	ENST00000318579.8	antisense	intergenic	18319	divergent	upstream
1	XLOC_058058	TCONS_00090082	HIATL2	ENST00000506067.1	sense	intergenic	4256	same_strand	downstream
1	XLOC_047825	TCONS_00074287	HIST1H4J	ENST00000355057.2	sense	intergenic	1432	same_strand	downstream
1	XLOC_016621	TCONS_00025474	GPR65	ENST00000267549.4	sense	intergenic	9780	same_strand	downstream
1	XLOC_011928	TCONS_00018272	AVIL	ENST00000257861.7	antisense	genic	0	nested	intronic
1	XLOC_047113	TCONS_00073094	SAP30L	ENST00000297109.10	antisense	intergenic	2477	divergent	upstream
1	XLOC_019053	TCONS_00029355	RP11-294C11.3	ENST00000629333.1	antisense	intergenic	50389	convergent	downstream
1	XLOC_005992	TCONS_00009329	LRRTM3	ENST00000485868.5	sense	genic	0	nested	intronic
1	XLOC_029912	TCONS_00045808	RHOB	ENST00000272233.5	sense	intergenic	1597	same_strand	downstream
1	XLOC_016717	TCONS_00025626	TCL1B	ENST00000340722.7	sense	intergenic	31637	same_strand	upstream
1	XLOC_015477	TCONS_00023738	DLEU1	ENST00000463474.6	antisense	intergenic	193	divergent	upstream
1	XLOC_003296	TCONS_00005113	FABP3	ENST00000482018.1	sense	intergenic	212	same_strand	upstream
1	XLOC_054945	TCONS_00085440	ZDHHC2	ENST00000262096.12	antisense	genic	0	nested	intronic
1	XLOC_053623	TCONS_00083350	PPP1R3B	ENST00000519699.1	antisense	intergenic	97843	divergent	upstream
1	XLOC_025366	TCONS_00038920	PITPNC1	ENST00000578527.1	antisense	genic	0	nested	exonic
1	XLOC_040416	TCONS_00062865	C3orf49	ENST00000295896.12	antisense	intergenic	14269	divergent	upstream
1	XLOC_033811	TCONS_00052238	RAPGEF4	ENST00000484331.5	antisense	intergenic	905	divergent	upstream
1	XLOC_058062	TCONS_00090088	CTSV	ENST00000538255.5	sense	intergenic	39597	same_strand	upstream
1	XLOC_060819	TCONS_00093783	CDY1	ENST00000306609.4	antisense	intergenic	56129	divergent	upstream
1	XLOC_049450	TCONS_00076782	LRRC16A	ENST00000461945.1	antisense	intergenic	5327	divergent	upstream
1	XLOC_001584	TCONS_00002491	ACP6	ENST00000583509.6	antisense	intergenic	27298	divergent	upstream
1	XLOC_036867	TCONS_00057172	DGCR2	ENST00000545799.5	antisense	intergenic	8283	convergent	downstream
1	XLOC_020437	TCONS_00031477	NOMO3	ENST00000399336.8	sense	intergenic	5336	same_strand	downstream
1	XLOC_050156	TCONS_00077859	WISP3	ENST00000368666.6	antisense	intergenic	70968	divergent	upstream
1	XLOC_115793	TCONS_00351934	RP11-463D19.2	ENST00000358757.5	sense	genic	0	nested	intronic
1	XLOC_018171	TCONS_00027961	FSIP1	ENST00000350221.3	antisense	genic	0	overlapping	intronic
1	XLOC_044501	TCONS_00069083	DAB2	ENST00000511792.5	antisense	intergenic	58108	divergent	upstream
1	XLOC_007498	TCONS_00011625	PLAC9	ENST00000465660.1	antisense	genic	0	containing	exonic
1	XLOC_015295	TCONS_00023423	MEDAG	ENST00000380482.8	antisense	genic	0	containing	intronic
1	XLOC_003971	TCONS_00006206	TMEM56-RWDD3	ENST00000604203.1	antisense	genic	0	overlapping	intronic
1	XLOC_012202	TCONS_00018689	EEA1	ENST00000547833.5	antisense	intergenic	74084	divergent	upstream
1	XLOC_006696	TCONS_00010399	MGMT	ENST00000306010.7	sense	intergenic	837	same_strand	downstream
1	XLOC_044918	TCONS_00069712	TMEM161B	ENST00000503194.1	antisense	genic	0	overlapping	exonic
1	XLOC_016502	TCONS_00025284	HEATR4	ENST00000565094.1	antisense	genic	0	overlapping	exonic
1	XLOC_095770	TCONS_00299221	PRELID2	ENST00000510259.5	sense	intergenic	23561	same_strand	downstream
1	XLOC_041513	TCONS_00064586	EVC2	ENST00000475313.5	antisense	intergenic	14971	convergent	downstream
1	XLOC_036084	TCONS_00055898	AP000304.12	ENST00000429238.2	antisense	intergenic	17181	divergent	upstream
1	XLOC_054884	TCONS_00085361	PRSS55	ENST00000522210.1	antisense	genic	0	overlapping	intronic
1	XLOC_034220	TCONS_00052875	COL4A3	ENST00000396578.7	antisense	genic	0	overlapping	exonic
1	XLOC_055432	TCONS_00086189	CRISPLD1	ENST00000517786.1	antisense	genic	0	nested	exonic
1	XLOC_006674	TCONS_00010372	EDRF1	ENST00000481600.5	sense	intergenic	9457	same_strand	upstream
1	XLOC_019912	TCONS_00030669	AKAP13	ENST00000394510.6	antisense	genic	0	overlapping	exonic
1	XLOC_041476	TCONS_00064531	NOP14	ENST00000416614.6	antisense	genic	0	overlapping	exonic
1	XLOC_053690	TCONS_00083475	MICU3	ENST00000318063.9	sense	intergenic	10240	same_strand	downstream
1	XLOC_058364	TCONS_00090548	GLE1	ENST00000494417.1	antisense	genic	0	overlapping	intronic
1	XLOC_056755	TCONS_00088216	NFIL3	ENST00000297689.3	antisense	intergenic	460	divergent	upstream
1	XLOC_001693	TCONS_00002672	FLG	ENST00000368799.1	antisense	genic	0	overlapping	exonic
1	XLOC_021864	TCONS_00033583	CRYM	ENST00000576703.5	sense	intergenic	36443	same_strand	upstream
1	XLOC_015652	TCONS_00024027	SLITRK1	ENST00000377084.3	sense	intergenic	80695	same_strand	upstream
1	XLOC_059446	TCONS_00091994	SPANXB1	ENST00000449283.1	sense	intergenic	5143	same_strand	upstream
1	XLOC_045082	TCONS_00069973	EPB41L4A	ENST00000507810.5	antisense	genic	0	nested	exonic
1	XLOC_028289	TCONS_00043303	ZNF582	ENST00000586929.5	antisense	intergenic	162	divergent	upstream
1	XLOC_060623	TCONS_00093530	AC012005.3	ENST00000624575.1	antisense	intergenic	70685	convergent	downstream
1	XLOC_028945	TCONS_00044261	ZNF730	ENST00000593635.1	antisense	intergenic	13458	divergent	upstream
1	XLOC_034935	TCONS_00053973	B4GALT5	ENST00000371711.4	antisense	intergenic	27796	convergent	downstream
1	XLOC_017493	TCONS_00026899	PLD4	ENST00000472901.1	antisense	genic	0	containing	intronic
1	XLOC_056074	TCONS_00087162	PPP1R16A	ENST00000526183.5	antisense	genic	0	overlapping	exonic
1	XLOC_054755	TCONS_00085156	SLC39A4	ENST00000301305.7	antisense	intergenic	1175	divergent	upstream
1	XLOC_026805	TCONS_00041129	BOD1L2	ENST00000585477.1	antisense	intergenic	19315	convergent	downstream
1	XLOC_036267	TCONS_00056163	LRRC3	ENST00000291592.5	sense	intergenic	3155	same_strand	downstream
1	XLOC_049910	TCONS_00077510	OGFRL1	ENST00000370435.4	antisense	genic	0	overlapping	exonic
1	XLOC_046941	TCONS_00072832	CXXC5	ENST00000502295.1	antisense	intergenic	2297	divergent	upstream
1	XLOC_048292	TCONS_00153280	SLC25A10	ENST00000545862.5	sense	intergenic	6611	same_strand	downstream
1	XLOC_057135	TCONS_00088732	MVB12B	ENST00000361171.7	sense	intergenic	20577	same_strand	downstream
1	XLOC_015589	TCONS_00023929	TDRD3	ENST00000377882.7	antisense	genic	0	containing	intronic
1	XLOC_028780	TCONS_00044011	CYP4F2	ENST00000392846.7	sense	intergenic	13119	same_strand	downstream
1	XLOC_013101	TCONS_00020086	AMN1	ENST00000281471.10	sense	intergenic	18701	same_strand	upstream
1	XLOC_037964	TCONS_00058911	NUP50	ENST00000347635.8	antisense	intergenic	1	divergent	upstream
1	XLOC_027687	TCONS_00042386	SCGB2B2	ENST00000595326.1	antisense	intergenic	1502	convergent	downstream
1	XLOC_014386	TCONS_00022001	MTMR6	ENST00000381801.5	antisense	genic	0	overlapping	exonic
1	XLOC_022191	TCONS_00034042	ANKRD11	ENST00000378332.6	sense	genic	0	containing	intronic
1	XLOC_028366	TCONS_00043463	PLPP2	ENST00000434325.6	sense	intergenic	51178	same_strand	downstream
1	XLOC_018701	TCONS_00028803	RASGRF1	ENST00000560334.5	antisense	genic	0	nested	exonic
1	XLOC_020672	TCONS_00031809	ZNF785	ENST00000395216.2	antisense	genic	0	containing	exonic
1	XLOC_045116	TCONS_00070020	CDO1	ENST00000250535.4	antisense	intergenic	47491	convergent	downstream
1	XLOC_023233	TCONS_00035722	RAB11FIP4	ENST00000621161.4	sense	intergenic	21915	same_strand	downstream
1	XLOC_040737	TCONS_00063391	KLF15	ENST00000296233.3	sense	intergenic	67437	same_strand	downstream
1	XLOC_011209	TCONS_00017143	PARP11	ENST00000416739.5	antisense	intergenic	6148	convergent	downstream
1	XLOC_047397	TCONS_00073531	DUSP22	ENST00000603296.5	sense	intergenic	65230	same_strand	upstream
1	XLOC_088671	TCONS_00281751	SH3RF1	ENST00000508685.1	sense	genic	0	nested	intronic
1	XLOC_033300	TCONS_00051459	LIMS1	ENST00000542845.3	antisense	genic	0	nested	intronic
1	XLOC_104522	TCONS_00321808	GRID2IP	ENST00000457091.2	antisense	genic	0	nested	exonic
1	XLOC_051214	TCONS_00079546	ZNF479	ENST00000331162.8	antisense	intergenic	56774	divergent	upstream
1	XLOC_053720	TCONS_00083520	SH2D4A	ENST00000265807.7	sense	intergenic	36044	same_strand	upstream
1	XLOC_052848	TCONS_00082139	EIF4H	ENST00000489484.5	antisense	genic	0	overlapping	exonic
1	XLOC_014484	TCONS_00022151	NBEA	ENST00000461581.1	sense	intergenic	14298	same_strand	downstream
1	XLOC_025522	TCONS_00039196	SEPT9	ENST00000431235.6	antisense	intergenic	62772	convergent	downstream
1	XLOC_057312	TCONS_00088988	RXRA	ENST00000484822.1	sense	intergenic	16685	same_strand	upstream
1	XLOC_045666	TCONS_00070872	STC2	ENST00000265087.8	antisense	intergenic	17046	convergent	downstream
1	XLOC_009625	TCONS_00014839	NCAPD3	ENST00000533155.5	antisense	genic	0	nested	intronic
1	XLOC_003037	TCONS_00004724	DHRS3	ENST00000616661.4	sense	intergenic	1169	same_strand	upstream
1	XLOC_030471	TCONS_00046803	HK2	ENST00000290573.6	sense	intergenic	42055	same_strand	upstream
1	XLOC_017829	TCONS_00027390	TRMT61A	ENST00000389749.8	antisense	intergenic	112	divergent	upstream
1	XLOC_030351	TCONS_00046624	ANTXR1	ENST00000463335.1	sense	genic	0	containing	intronic
1	XLOC_053033	TCONS_00082443	ATXN7L1	ENST00000481880.5	sense	genic	0	containing	intronic
1	XLOC_010825	TCONS_00016553	AASDHPPT	ENST00000278618.8	antisense	intergenic	13749	convergent	downstream
1	XLOC_026822	TCONS_00041155	MALT1	ENST00000348428.7	antisense	genic	0	overlapping	exonic
1	XLOC_049910	TCONS_00077501	OGFRL1	ENST00000370435.4	antisense	genic	0	overlapping	exonic
1	XLOC_037369	TCONS_00057977	LDOC1L	ENST00000341255.3	antisense	intergenic	47784	convergent	downstream
1	XLOC_020181	TCONS_00031129	HS3ST6	ENST00000454677.2	antisense	intergenic	5958	convergent	downstream
1	XLOC_006403	TCONS_00009971	LBX1	ENST00000370193.3	antisense	intergenic	54739	divergent	upstream
1	XLOC_026187	TCONS_00040222	PMAIP1	ENST00000316660.6	sense	intergenic	58657	same_strand	upstream
1	XLOC_013043	TCONS_00020007	SSPN	ENST00000242729.6	antisense	genic	0	overlapping	exonic
1	XLOC_028299	TCONS_00043328	ZNF835	ENST00000601659.1	antisense	intergenic	485	divergent	upstream
1	XLOC_012648	TCONS_00019381	SLC15A4	ENST00000266771.9	antisense	intergenic	1576	divergent	upstream
1	XLOC_037381	TCONS_00057992	NUP50	ENST00000347635.8	sense	intergenic	31453	same_strand	upstream
1	XLOC_006674	TCONS_00010373	EDRF1	ENST00000419769.6	sense	intergenic	9457	same_strand	upstream
1	XLOC_018411	TCONS_00028362	ADAM10	ENST00000260408.7	antisense	genic	0	overlapping	exonic
1	XLOC_031456	TCONS_00048414	PRKRA	ENST00000432031.6	antisense	genic	0	overlapping	intronic
1	XLOC_125692	TCONS_00378036	RPGR	ENST00000339363.7	sense	genic	0	nested	intronic
1	XLOC_049699	TCONS_00077153	GLP1R	ENST00000373256.4	antisense	intergenic	8813	divergent	upstream
1	XLOC_044335	TCONS_00068819	DNAH5	ENST00000265104.4	antisense	genic	0	nested	exonic
1	XLOC_057681	TCONS_00089523	ZCCHC7	ENST00000336755.9	antisense	intergenic	5049	divergent	upstream
1	XLOC_030301	TCONS_00046523	TMEM17	ENST00000335390.5	antisense	intergenic	36151	convergent	downstream
1	XLOC_001231	TCONS_00001907	CNN3	ENST00000370206.8	antisense	intergenic	4600	divergent	upstream
1	XLOC_006251	TCONS_00009736	ACTA2	ENST00000458208.5	antisense	genic	0	overlapping	exonic
1	XLOC_040725	TCONS_00063356	SLC12A8	ENST00000430155.6	sense	intergenic	3102	same_strand	downstream
1	XLOC_027151	TCONS_00041625	DPP9	ENST00000597900.5	antisense	genic	0	containing	exonic
1	XLOC_027948	TCONS_00042794	ZNF227	ENST00000590871.1	sense	intergenic	9311	same_strand	upstream
1	XLOC_040554	TCONS_00063063	CMSS1	ENST00000421999.6	antisense	genic	0	overlapping	exonic
1	XLOC_058259	TCONS_00090401	DAB2IP	ENST00000394340.7	antisense	intergenic	67030	divergent	upstream
1	XLOC_033366	TCONS_00051587	RABL2A	ENST00000393167.7	antisense	intergenic	99	divergent	upstream
1	XLOC_060464	TCONS_00093341	SRY	ENST00000383070.1	antisense	intergenic	2128	divergent	upstream
1	XLOC_047672	TCONS_00074052	RNF182	ENST00000488300.5	sense	intergenic	24618	same_strand	downstream
1	XLOC_039134	TCONS_00060775	H1FX	ENST00000333762.5	antisense	genic	0	overlapping	exonic
1	XLOC_008354	TCONS_00012924	LIN7C	ENST00000278193.6	antisense	intergenic	52654	divergent	upstream
1	XLOC_016308	TCONS_00025010	OTX2	ENST00000339475.9	antisense	intergenic	600	convergent	downstream
1	XLOC_022876	TCONS_00035123	KRBA2	ENST00000396267.1	antisense	genic	0	containing	exonic
1	XLOC_096748	TCONS_00302153	FARS2	ENST00000274680.8	sense	intergenic	54618	same_strand	downstream
1	XLOC_044162	TCONS_00068584	SLC9A3	ENST00000507407.1	antisense	genic	0	overlapping	exonic
1	XLOC_001151	TCONS_00001777	CYR61	ENST00000451137.6	sense	intergenic	15168	same_strand	downstream
1	XLOC_033144	TCONS_00051203	ANKRD36C	ENST00000612359.4	sense	intergenic	20157	same_strand	downstream
1	XLOC_005194	TCONS_00008066	SIPA1L2	ENST00000366630.5	sense	intergenic	84854	same_strand	downstream
1	XLOC_049728	TCONS_00077201	MDFI	ENST00000432027.5	antisense	intergenic	8899	divergent	upstream
1	XLOC_036829	TCONS_00057091	CECR5	ENST00000155674.9	antisense	genic	0	overlapping	exonic
1	XLOC_006963	TCONS_00010819	STAM	ENST00000377524.7	antisense	genic	0	nested	exonic
1	XLOC_054316	TCONS_00084447	MMP16	ENST00000286614.10	antisense	genic	0	overlapping	exonic
1	XLOC_006735	TCONS_00010448	ADGRA1	ENST00000607359.5	sense	intergenic	56262	same_strand	upstream
1	XLOC_035262	TCONS_00054525	BTBD3	ENST00000254977.7	antisense	intergenic	71632	divergent	upstream
1	XLOC_012516	TCONS_00019138	SIRT4	ENST00000536460.1	sense	intergenic	120	same_strand	upstream
1	XLOC_041823	TCONS_00065050	NFXL1	ENST00000329043.7	antisense	genic	0	overlapping	exonic
1	XLOC_003603	TCONS_00005597	OSBPL9	ENST00000371714.5	antisense	intergenic	15425	divergent	upstream
1	XLOC_017797	TCONS_00027339	DIO3	ENST00000510508.4	antisense	intergenic	948	divergent	upstream
1	XLOC_048086	TCONS_00074672	LRFN2	ENST00000338305.6	antisense	intergenic	11687	convergent	downstream
1	XLOC_032257	TCONS_00049798	ATP6V1C2	ENST00000635370.1	antisense	genic	0	nested	exonic
1	XLOC_014948	TCONS_00022885	MBNL2	ENST00000397601.5	sense	intergenic	15941	same_strand	upstream
1	XLOC_024730	TCONS_00037954	TBC1D29	ENST00000580161.5	antisense	intergenic	9978	convergent	downstream
1	XLOC_012972	TCONS_00019890	H2AFJ	ENST00000501744.2	antisense	genic	0	overlapping	exonic
